bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;nilai;satuan
11;Aceh;1110;Kabupaten Bireuen;2023;37.57;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2023;45.56;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2023;31.63;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2023;31.81;Juta Rupiah
11;Aceh;1114;Kabupaten Aceh Tamiang;2023;35.15;Juta Rupiah
11;Aceh;1115;Kabupaten Nagan Raya;2023;68.54;Juta Rupiah
11;Aceh;1116;Kabupaten Aceh Jaya;2023;34.55;Juta Rupiah
11;Aceh;1117;Kabupaten Bener Meriah;2023;35.55;Juta Rupiah
11;Aceh;1118;Kabupaten Pidie Jaya;2023;26.46;Juta Rupiah
11;Aceh;1171;Kota Banda Aceh;2023;90.76;Juta Rupiah
11;Aceh;1172;Kota Sabang;2023;40.73;Juta Rupiah
11;Aceh;1173;Kota Langsa;2023;35.19;Juta Rupiah
11;Aceh;1174;Kota Lhokseumawe;2023;56.6;Juta Rupiah
11;Aceh;1175;Kota Subulussalam;2023;26.43;Juta Rupiah
